sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),SHARP for sepal length (cm),SHARP for sepal width (cm),SHARP for petal length (cm),SHARP for petal width (cm)
6.4,3.2,5.3,2.3,0.4363834261894226,-1.999329686164856,1.9660893678665161,2.504613161087036
4.7,3.2,1.6,0.2,0.0,0.0,3.325589418411255,0.0
6.3,2.8,5.1,1.5,1.2769336700439453,-2.377734899520874,-0.32774925231933594,0.9264694452285767
6.3,3.3,6.0,2.5,0.4363834261894226,-1.999329686164856,1.9660893678665161,2.504613161087036
5.0,3.6,1.4,0.2,0.0,0.0,3.325589418411255,0.0
6.2,2.2,4.5,1.5,1.1735756397247314,0.33669474720954895,1.6861814260482788,0.7994873523712158
5.4,3.4,1.7,0.2,0.0,0.0,3.325589418411255,0.0
5.8,2.7,3.9,1.2,-0.5375574827194214,0.5802746415138245,1.5911580324172974,0.9496849775314331
5.5,2.4,3.7,1.0,-0.8321797251701355,0.5598854422569275,1.6056731939315796,0.8781447410583496
4.7,3.2,1.3,0.2,0.0,0.0,3.325589418411255,0.0
7.2,3.0,5.8,1.6,1.2506828308105469,0.24863292276859283,-1.8139464855194092,3.580636978149414
5.1,3.8,1.5,0.3,0.0,0.0,3.325589418411255,0.0
5.7,2.8,4.1,1.3,-0.5375574827194214,-2.347641706466675,1.5428797006607056,0.8830996751785278
6.7,3.1,4.4,1.4,1.6169922351837158,0.15468765795230865,1.6143156290054321,0.8695837259292603
6.5,3.0,5.8,2.2,0.4363834261894226,-1.6459065675735474,1.9660893678665161,2.640925645828247
5.7,2.9,4.2,1.3,-0.7891070246696472,0.22720932960510254,1.5428797006607056,0.8830996751785278
5.5,2.6,4.4,1.2,-0.8321797251701355,0.5132176280021667,1.6056731939315796,0.8664494752883911
6.6,2.9,4.6,1.3,1.6169922351837158,0.45408791303634644,1.6143156290054321,0.9584363698959351
6.4,3.1,5.5,1.8,0.4363834261894226,-1.6459065675735474,1.9660893678665161,2.640925645828247
5.0,3.5,1.6,0.6,0.0,0.0,3.325589418411255,0.0
7.3,2.9,6.3,1.8,0.4363834261894226,-1.496819257736206,1.9660893678665161,2.6887238025665283
5.8,2.6,4.0,1.2,-0.5375574827194214,0.5132176280021667,1.6254721879959106,0.9004595279693604
5.0,3.5,1.3,0.3,0.0,0.0,3.325589418411255,0.0
5.2,2.7,3.9,1.4,-2.0968945026397705,0.5299332737922668,1.3983803987503052,0.7036106586456299
4.6,3.1,1.5,0.2,0.0,0.0,3.325589418411255,0.0
5.0,2.3,3.3,1.0,-2.0968945026397705,0.5598854422569275,1.4326945543289185,0.8540847301483154
5.2,4.1,1.5,0.1,0.0,0.0,3.325589418411255,0.0
5.1,2.5,3.0,1.1,0.0,0.0,3.325589418411255,0.0
5.4,3.9,1.3,0.4,0.0,0.0,3.325589418411255,0.0
6.0,2.9,4.5,1.5,1.2598609924316406,0.5028976798057556,1.6035887002944946,0.8027427196502686
