sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),SHARP for sepal length (cm) Class1,SHARP for sepal width (cm) Class1,SHARP for petal length (cm) Class1,SHARP for petal width (cm) Class1,SHARP for sepal length (cm) Class2,SHARP for sepal width (cm) Class2,SHARP for petal length (cm) Class2,SHARP for petal width (cm) Class2,SHARP for sepal length (cm) Class3,SHARP for sepal width (cm) Class3,SHARP for petal length (cm) Class3,SHARP for petal width (cm) Class3
6.8,2.8,4.8,1.4,0.0,0.0,-2.1489691734313965,-0.11339128017425537,3.207129955291748,-1.2461094856262207,0.16568905115127563,0.9473920464515686,0.026602350175380707,0.800954282283783,-1.4035416841506958,-1.736074447631836
5.7,2.5,5.0,2.0,0.0,0.0,-2.1489691734313965,-0.11339128017425537,-2.242264986038208,0.04759727418422699,-1.8180276155471802,-1.3323841094970703,-0.015269163995981216,1.293013095855713,1.4748555421829224,1.3873006105422974
6.0,2.2,4.0,1.0,0.0,0.0,-2.1489691734313965,0.1280820369720459,1.193209171295166,0.22092726826667786,3.87786602973938,0.7234596014022827,0.05448269098997116,1.0215224027633667,-2.2341411113739014,-1.7455480098724365
5.7,3.0,4.2,1.2,0.0,0.0,-2.1489691734313965,-0.11339128017425537,-2.351386308670044,0.0475599430501461,3.7134745121002197,0.7780967950820923,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
4.9,3.6,1.4,0.1,0.0,0.0,3.008453607559204,0.1280820369720459,-3.411973237991333,0.004550742916762829,0.42393094301223755,0.40609627962112427,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
6.5,3.0,5.5,1.8,0.0,0.0,-2.1489691734313965,-0.11339128017425537,2.7152271270751953,0.17152488231658936,-3.5131447315216064,-1.451332688331604,-0.009080559015274048,-1.2422877550125122,2.8462631702423096,1.2218068838119507
5.5,2.4,3.7,1.0,0.0,0.0,-2.1489691734313965,0.1280820369720459,-2.351386308670044,0.22092726826667786,3.794631242752075,0.6944840550422668,-0.04857010394334793,1.0215224027633667,-2.2341411113739014,-1.7455480098724365
6.7,2.5,5.8,1.8,0.0,0.0,-2.1489691734313965,-0.11339128017425537,2.7152271270751953,0.04759727418422699,-3.5957489013671875,-1.5276330709457397,-0.009080559015274048,0.990894079208374,2.398585319519043,1.3873006105422974
4.9,3.0,1.4,0.2,0.0,0.0,3.008453607559204,0.1280820369720459,-3.411973237991333,-0.029309922829270363,0.42393094301223755,0.4399569630622864,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
4.4,3.0,1.3,0.2,0.0,0.0,3.008453607559204,0.1280820369720459,-3.411973237991333,-0.029309922829270363,0.42393094301223755,0.4399569630622864,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
4.8,3.1,1.6,0.2,0.0,0.0,3.008453607559204,0.1280820369720459,-3.411973237991333,-0.029309922829270363,0.42393094301223755,0.4399569630622864,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
5.7,2.8,4.5,1.3,0.0,0.0,-2.1489691734313965,-0.11339128017425537,-2.361544609069824,-1.2461094856262207,3.2766854763031006,0.8626033067703247,-0.04857010394334793,0.800954282283783,-1.9819484949111938,-1.7455480098724365
4.8,3.0,1.4,0.1,0.0,0.0,3.008453607559204,0.1280820369720459,-3.411973237991333,-0.029309922829270363,0.42393094301223755,0.4399569630622864,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
5.1,3.3,1.7,0.5,0.0,0.0,3.008453607559204,0.1280820369720459,-3.411973237991333,0.004550742916762829,0.42393094301223755,0.40609627962112427,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
4.8,3.4,1.9,0.2,0.0,0.0,3.008453607559204,0.1280820369720459,-3.411973237991333,0.004550742916762829,0.42393094301223755,0.40609627962112427,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
5.5,3.5,1.3,0.2,0.0,0.0,3.008453607559204,0.1280820369720459,-2.351386308670044,0.004550742916762829,0.5694746375083923,0.43750250339508057,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
6.1,2.9,4.7,1.4,0.0,0.0,-2.1489691734313965,-0.11339128017425537,2.5892062187194824,0.5846026539802551,3.4425241947174072,0.9174972176551819,0.05448269098997116,-1.1094528436660767,-2.209712028503418,-1.4797494411468506
6.3,2.3,4.4,1.3,0.0,0.0,-2.1489691734313965,-0.11339128017425537,3.1822853088378906,0.22092726826667786,3.865802049636841,0.9473920464515686,0.05448269098997116,1.0215224027633667,-2.2341411113739014,-1.7455480098724365
6.0,3.0,4.8,1.8,0.0,0.0,-2.1489691734313965,-0.11339128017425537,1.1887030601501465,0.17152488231658936,0.0014219227014109492,-1.3731236457824707,0.05448269098997116,-1.6156102418899536,-1.4983727931976318,2.031283378601074
5.0,3.3,1.4,0.2,0.0,0.0,3.008453607559204,0.1280820369720459,-3.411973237991333,0.004550742916762829,0.42393094301223755,0.40609627962112427,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
6.9,3.1,5.1,2.3,0.0,0.0,-2.1489691734313965,-0.11339128017425537,2.7152271270751953,0.17152488231658936,-3.5131447315216064,-1.451332688331604,-0.009080559015274048,-1.2422877550125122,2.8462631702423096,1.2218068838119507
5.8,2.6,4.0,1.2,0.0,0.0,-2.1489691734313965,-0.11339128017425537,-4.391528129577637,0.22092726826667786,3.794631242752075,0.8353304266929626,-0.04857010394334793,1.0215224027633667,-2.2341411113739014,-1.7455480098724365
5.6,2.5,3.9,1.1,0.0,0.0,-2.1489691734313965,-0.11339128017425537,-2.351386308670044,0.22092726826667786,3.794631242752075,0.8353304266929626,-0.04857010394334793,1.0215224027633667,-2.2341411113739014,-1.7455480098724365
5.2,3.4,1.4,0.2,0.0,0.0,3.008453607559204,0.1280820369720459,-2.9964535236358643,0.004550742916762829,0.4639626145362854,0.40609627962112427,-0.04857010394334793,-1.3101354837417603,-2.3635289669036865,-1.4324519634246826
6.1,3.0,4.9,1.8,0.0,0.0,-2.1489691734313965,-0.11339128017425537,2.430588722229004,0.17152488231658936,-0.34759122133255005,-1.4430445432662964,0.05448269098997116,-1.6156102418899536,0.2311629354953766,1.6837353706359863
6.3,3.3,6.0,2.5,0.0,0.0,-2.1489691734313965,-0.11339128017425537,2.7152271270751953,0.31905585527420044,-3.5131447315216064,-1.3715221881866455,0.08778362721204758,-1.2422877550125122,2.887366533279419,1.2218068838119507
5.8,2.7,3.9,1.2,0.0,0.0,-2.1489691734313965,-0.11339128017425537,-4.391528129577637,0.22092726826667786,3.794631242752075,0.8353304266929626,-0.04857010394334793,1.0215224027633667,-2.2341411113739014,-1.7455480098724365
7.2,3.2,6.0,1.8,0.0,0.0,-2.1489691734313965,-0.11339128017425537,2.7152271270751953,0.31905585527420044,-3.5131447315216064,-1.3715221881866455,-0.009080559015274048,-1.2422877550125122,2.8462631702423096,1.2218068838119507
6.4,2.9,4.3,1.3,0.0,0.0,-2.1489691734313965,-0.11339128017425537,3.1822853088378906,0.4986410439014435,3.7846453189849854,0.9473920464515686,0.05448269098997116,-1.0490320920944214,-2.3635289669036865,-1.4797494411468506
6.7,3.3,5.7,2.1,0.0,0.0,-2.1489691734313965,-0.11339128017425537,2.7152271270751953,0.31905585527420044,-3.5131447315216064,-1.3715221881866455,-0.009080559015274048,-1.2422877550125122,2.8462631702423096,1.2218068838119507
